id;username;email;first_name;last_name;mobile_number;gender
1;Assistant;Aubrey45@yahoo.com;Precious;Rau;orchid;MALE
2;SQL;Noble61@gmail.com;Ramon;Armstrong;functionalities;MALE
3;deposit multi-byte indexing;Chaim27@yahoo.com;Hazle;Rutherford;mobile azure Soft;MALE
4;Progressive;Erling69@hotmail.com;Nyasia;Boyle;California;MALE
5;database protocol Tennessee;Astrid.Rowe45@yahoo.com;Darren;Bosco;Small Credit Card Account Chicken;FEMALE
6;multi-tasking calculate initiatives;Corine78@gmail.com;Grace;Murazik;invoice Games invoice;FEMALE
7;Handcrafted Auto Loan Account;Arjun25@yahoo.com;Mossie;Runolfsdottir;hacking;MALE
8;fuchsia Robust;Nathaniel.Koepp@gmail.com;Sidney;Fay;transmitting Home Loan Account;MALE
9;redefine;Lawrence7@gmail.com;Brendan;Keebler;Product Intelligent Cotton Sausages;FEMALE
10;Ball invoice;Llewellyn_Dickens25@gmail.com;Jadon;Douglas;transitional Forint Steel;MALE
